proxy,value,n_height,type
XFeHr,0.78,-101,INT
XFeHr,0.78,-91,INT
XFeHr,0.78,-77,INT
XFeHr,0.78,-49,INT
XFeHr,0.68,-24,INT
XFeHr,0.66,-17,INT
XFeHr,0.61,-11,INT
XFeHr,0.63,-6,INT
XFeHr,0.74,-2,INT
XFeHr,0.76,2,INT
XFeHr,0.78,6,INT
XFeHr,0.69,10,INT
XFeHr,0.4,17,INT
XFeHr,0.56,27,INT
XFeHr,0.61,55,INT
XFeHr,0.59,82,INT
XFeHr,0.5,124,INT
XFeHr,0.46,165,INT
XFeHr,0.47,470,INT
XFeHr,0.41,823,INT
XFePy,0.64,-502,INT
XFePy,0.5,-340,INT
XFePy,0.58,-204,INT
XFePy,0.78,-139,INT
XFePy,0.71,-101,INT
XFePy,0.67,-91,INT
XFePy,0.62,-77,INT
XFePy,0.58,-49,INT
XFePy,0.67,-24,INT
XFePy,0.63,-17,INT
XFePy,0.77,-11,INT
XFePy,0.76,-6,INT
XFePy,0.7,-2,INT
XFePy,0.63,2,INT
XFePy,0.66,6,INT
XFePy,0.75,10,INT
XFePy,0.69,17,INT
XFePy,0.85,27,INT
XFePy,0.62,55,INT
XFePy,0.5,82,INT
XFePy,0.54,124,INT
XFePy,0.54,165,INT
XFePy,0.46,470,INT
XFePy,0.24,823,INT
XLi,9.88,-340,INT
XLi,7.7,-204,INT
XLi,7.5,-139,INT
XLi,9.95,-101,INT
XLi,12.4,-91,INT
XLi,10.4,-77,INT
XLi,8.4,-49,INT
XLi,9.65,-24,INT
XLi,0.3,-17,INT
XLi,0.53,-11,INT
XLi,3.46,-6,INT
XLi,6.38,-2,INT
XLi,9.3,2,INT
XLi,8.47,6,INT
XLi,7.63,10,INT
XLi,6.8,17,INT
XLi,5.25,27,INT
XLi,3.7,55,INT
XLi,4.4,82,INT
XLi,1.56,124,INT
XLi,1.41,165,INT
XLi,1.27,470,INT
XLi,1.25,823,INT
XN,2.73,-4740,INT
XN,2.71,-4375,INT
XN,2.7,-4320,INT
XN,2.68,-4265,INT
XN,2.67,-4205,INT
XN,2.65,-4075,INT
XN,2.64,-3900,INT
XN,2.85,-3768,INT
XN,3.06,-3722,INT
XN,3.28,-3635,INT
XN,3.49,-3410,INT
XN,2.2,-3222,INT
XN,0.8,-2982,INT
XN,1.19,-2692,INT
XN,1.57,-2504,INT
XN,3.5,-2252,INT
XN,2.24,-2016,INT
XN,0.98,-1739,INT
XN,1.58,-1334,INT
XN,1.59,-1125,INT
XN,1.59,-1100,INT
XN,1.6,-880,INT
XN,1.6,-620,INT
XN,1.61,-502,INT
XN,2.7,-340,INT
XN,2.56,-204,INT
XN,2.41,-139,INT
XN,2.29,-101,INT
XN,2.17,-91,INT
XN,1.74,-77,INT
XN,1.64,-49,INT
XN,1.54,-24,INT
XN,1.44,-17,INT
XN,2.22,-11,INT
XN,0.03,-6,INT
XN,0.11,-2,INT
XN,0.18,2,INT
XN,0.26,6,INT
XN,0.25,10,INT
XN,0.24,17,INT
XN,0.22,27,INT
XN,0.21,55,INT
XN,0.61,82,INT
XN,1.01,124,INT
XO,19.94,-4075,INT
XO,20.58,-3900,INT
XO,20.89,-3768,INT
XO,20.95,-3722,INT
XO,21.01,-3635,INT
XO,20.82,-3410,INT
XO,21.09,-3222,INT
XO,21.37,-2982,INT
XO,21.04,-2692,INT
XO,21.28,-2504,INT
XO,21.15,-2252,INT
XO,21.86,-2016,INT
XO,21.51,-1739,INT
XO,21.32,-1334,INT
XO,21.43,-1125,INT
XO,21.53,-1100,INT
XO,21.71,-880,INT
XO,21.16,-620,INT
XO,21.7,-502,INT
XO,21.41,-340,INT
XO,21.21,-204,INT
XO,20.59,-139,INT
XO,20.74,-101,INT
XO,20.6,-91,INT
XO,21.07,-77,INT
XO,20.99,-49,INT
XO,20.99,-24,INT
XO,21.06,-17,INT
XO,20.09,-11,INT
XO,19.04,-6,INT
XO,18.99,-2,INT
XO,18.75,2,INT
XO,18.88,6,INT
XO,18.46,10,INT
XO,18.57,17,INT
XO,19.16,27,INT
XO,18.29,55,INT
XO,18.24,82,INT
XO,18.19,124,INT
XO,18.45,165,INT
XO,18.71,470,INT
XOs,5.02,-880,INT
XOs,9.01,-620,INT
XOs,6.8,-502,INT
XOs,4.58,-340,INT
XOs,4.43,-204,INT
XOs,4.28,-139,INT
XOs,5.48,-101,INT
XOs,6.67,-91,INT
XOs,10.55,-77,INT
XOs,6.34,-49,INT
XOs,3.1,-24,INT
XOs,3.77,-17,INT
XOs,4.44,-11,INT
XOs,1.64,-6,INT
XOs,1.93,-2,INT
XOs,1.33,2,INT
XOs,1.68,6,INT
XOs,2.02,10,INT
XOs,2.37,17,INT
XOs,2.11,27,INT
XOs,1.84,55,INT
XOs,1.58,82,INT
XOs,1.32,124,INT
XOs,1.3,165,INT
XOs,1.28,470,INT
XS33,0.034579142,-339.5,INT
XS33,0.044102072,-203.5,INT
XS33,0.067491781,-138.5,INT
XS33,0.051876645,-101,INT
XS33,-0.0151841,-90.5,INT
XS33,0.067740268,-76.5,INT
XS33,0.038379738,-48.5,INT
XS33,0.000182832,-24,INT
XS33,0.077328311,-16.5,INT
XS33,0.059514233,-11,INT
XS33,0.080297532,-6,INT
XS33,0.101080832,-2,INT
XS33,0.070264556,2,INT
XS33,0.048446229,6,INT
XS33,0.026627902,10,INT
XS33,0.004809575,17,INT
XS33,0.082710462,27,INT
XS33,0.080388822,54.5,INT
XS33,0.080235443,81.5,INT
XS33,0.056924615,124,INT
XS34,-21.19,-340,INT
XS34,-19.12,-204,INT
XS34,-24.65,-139,INT
XS34,-23.28,-101,INT
XS34,-6.26,-91,INT
XS34,-27.7,-77,INT
XS34,-24.96,-49,INT
XS34,-15.07,-24,INT
XS34,-24.05,-17,INT
XS34,-28.96,-11,INT
XS34,-31.78,-6,INT
XS34,-34.6,-2,INT
XS34,-31.2,2,INT
XS34,-28.99,6,INT
XS34,-26.77,10,INT
XS34,-24.56,17,INT
XS34,-29.23,27,INT
XS34,-31.15,55,INT
XS34,-32.37,82,INT
XS34,-30.41,124,INT
XSr,0.70718,-4375,INT
XSr,0.70707,-4320,INT
XSr,0.7071,-4265,INT
XSr,0.70714,-4205,INT
XSr,0.70708,-4075,INT
XSr,0.70703,-3900,INT
XSr,0.70706,-3768,INT
XSr,0.70711,-3722,INT
XSr,0.70716,-3635,INT
XSr,0.70711,-3410,INT
XSr,0.70705,-3222,INT
XSr,0.70711,-2982,INT
XSr,0.70711,-2692,INT
XSr,0.70711,-2504,INT
XSr,0.70713,-2252,INT
XSr,0.70714,-2016,INT
XSr,0.70716,-1739,INT
XSr,0.70705,-1334,INT
XSr,0.70707,-1125,INT
XSr,0.70708,-1100,INT
XSr,0.70709,-880,INT
XSr,0.70706,-620,INT
XSr,0.70713,-502,INT
XSr,0.70713,-340,INT
XSr,0.70712,-204,INT
XSr,0.70711,-139,INT
XSr,0.70712,-101,INT
XSr,0.70714,-91,INT
XSr,0.70715,-77,INT
XSr,0.70716,-49,INT
XSr,0.70712,-24,INT
XSr,0.70707,-17,INT
XSr,0.70717,-11,INT
XSr,0.70717,-6,INT
XSr,0.70717,-2,INT
XSr,0.70717,2,INT
XSr,0.70713,6,INT
XSr,0.70709,10,INT
XSr,0.70711,17,INT
XSr,0.70714,27,INT
XSr,0.70716,55,INT
XSr,0.70718,82,INT
XSr,0.70721,124,INT
XSr,0.70728,165,INT
XSr,0.70736,470,INT
XThU,0.02,-4205,INT
XThU,0.03,-4075,INT
XThU,0.04,-3900,INT
XThU,0.11,-3767.5,INT
XThU,0.06,-3721.5,INT
XThU,0.1,-3634.5,INT
XThU,0.04,-3409.5,INT
XThU,0.07,-3221.5,INT
XThU,0.01,-2981.5,INT
XThU,0.02,-2691.5,INT
XThU,0.09,-2503.5,INT
XThU,0.16,-2252,INT
XThU,0.03,-2015.5,INT
XThU,0.02,-1739,INT
XThU,0.04,-1334,INT
XThU,0.03,-1124.5,INT
XThU,0.07,-1100,INT
XThU,0.04,-880,INT
XThU,0,-620,INT
XThU,0.19,-501.5,INT
XThU,0.11,-339.5,INT
XThU,0.2,-203.5,INT
XThU,0.29,-138.5,INT
XThU,0.206666667,-101,INT
XThU,0.123333333,-90.5,INT
XThU,0.04,-76.5,INT
XThU,0.74,-48.5,INT
XThU,1.44,-24,INT
XThU,2.14,-16.5,INT
XThU,0.4,-11,INT
XThU,0.373333333,-6,INT
XThU,0.346666667,-2,INT
XThU,0.32,2,INT
XThU,0.295,6,INT
XThU,0.27,10,INT
