proxy,value,n_height,type
XN,2.703333333,-339.5,PMM
XN,2.163,-203.5,PMM
XN,2.41,-138.5,PMM
XN,1.446,-101,PMM
XN,2.17,-90.5,PMM
XN,1.74,-76.5,PMM
XN,2.164,-48.5,PMM
XN,2.347,-24,PMM
XN,1.44,-16.5,PMM
XN,2.22,-11,PMM
XN,0.03,-6,PMM
XN,1.777333333,-2,PMM
XN,1.965333333,2,PMM
XN,0.26,6,PMM
XN,1.62,10,PMM
XN,1.751666667,17,PMM
XN,0.935333333,27,PMM
XN,0.21,54.5,PMM
XN,1.614666667,81.5,PMM
XN,1.006666667,124,PMM
XN,1.802,164.5,PMM
XN,1.790666667,470,PMM
XN,2.320333333,823,PMM
XN,1.539,921,PMM
XN,2.055666667,976,PMM
XN,1.228333333,999.5,PMM
XN,1.526,1032,PMM
XN,1.502,1062,PMM
XN,1.944666667,1125.5,PMM
XN,1.043,1214.5,PMM
XN,1.557333333,1281,PMM
XN,1.234333333,1342.5,PMM
XN,1.369333333,1395.5,PMM
XN,0.856,1442.5,PMM
XN,1.687,1486,PMM
XN,1.195666667,1505.5,PMM
XN,1.813,1533,PMM
XO,19.935,-4075,PMM
XO,20.58,-3900,PMM
XO,20.885,-3767.5,PMM
XO,21.2443,-3721.5,PMM
XO,21.008,-3634.5,PMM
XO,20.815,-3409.5,PMM
XO,20.70496667,-3221.5,PMM
XO,21.36666667,-2981.5,PMM
XO,21.04,-2691.5,PMM
XO,21.27666667,-2503.5,PMM
XO,21.15,-2252,PMM
XO,21.85666667,-2015.5,PMM
XO,21.51333333,-1739,PMM
XO,21.32333333,-1334,PMM
XO,20.91266667,-1124.5,PMM
XO,21.53,-1100,PMM
XO,21.71142857,-880,PMM
XO,21.16333333,-620,PMM
XO,21.70333333,-501.5,PMM
XO,21.41,-339.5,PMM
XO,21.2075,-203.5,PMM
XO,20.58833333,-138.5,PMM
XO,20.74333333,-101,PMM
XO,20.6,-90.5,PMM
XO,21.07333333,-76.5,PMM
XO,20.994,-48.5,PMM
XO,20.99,-24,PMM
XO,21.06,-16.5,PMM
XO,20.09,-11,PMM
XO,19.04,-6,PMM
XO,18.98666667,-2,PMM
XO,18.745,2,PMM
XO,18.88,6,PMM
XO,18.46333333,10,PMM
XO,18.57,17,PMM
XO,19.155,27,PMM
XO,18.29166667,54.5,PMM
XO,18.63033333,81.5,PMM
XO,18.19,124,PMM
XO,19.66933333,164.5,PMM
XO,18.71,470,PMM
XO,18.91,823,PMM
XO,18.543,921,PMM
XO,18.78533333,976,PMM
XO,18.48633333,999.5,PMM
XO,18.972,1032,PMM
XO,18.62866667,1062,PMM
XO,18.646,1125.5,PMM
XO,18.72066667,1214.5,PMM
XO,18.76466667,1281,PMM
XO,18.54833333,1342.5,PMM
XO,19.987,1395.5,PMM
XO,19.13333333,1442.5,PMM
XO,18.84933333,1486,PMM
XO,18.722,1505.5,PMM
XO,19.082,1533,PMM
XOs,5.02,-880,PMM
XOs,9.01,-620,PMM
XOs,4.3435,-501.5,PMM
XOs,4.58,-339.5,PMM
XOs,3.991,-203.5,PMM
XOs,4.28,-138.5,PMM
XOs,5.0805,-101,PMM
XOs,6.67,-90.5,PMM
XOs,10.55,-76.5,PMM
XOs,6.3425,-48.5,PMM
XOs,3.1,-24,PMM
XOs,2.096,-16.5,PMM
XOs,4.44,-11,PMM
XOs,1.64,-6,PMM
XOs,1.93,-2,PMM
XOs,1.33,2,PMM
XOs,4.8175,6,PMM
XOs,4.447,10,PMM
XOs,2.37,17,PMM
XOs,2.8365,27,PMM
XOs,3.402,54.5,PMM
XOs,2.7705,81.5,PMM
XOs,1.315,124,PMM
XOs,3.768,164.5,PMM
XOs,1.2825,470,PMM
XS33,0.034579142,-339.5,PMM
XS33,0.044102072,-203.5,PMM
XS33,0.067491781,-138.5,PMM
XS33,0.051876645,-101,PMM
XS33,-0.0151841,-90.5,PMM
XS33,0.067740268,-76.5,PMM
XS33,0.038379738,-48.5,PMM
XS33,0.000182832,-24,PMM
XS33,0.077328311,-16.5,PMM
XS33,0.059514233,-11,PMM
XS33,0.054419864,-6,PMM
XS33,0.101080832,-2,PMM
XS33,0.070264556,2,PMM
XS33,0.065205781,6,PMM
XS33,0.058897084,10,PMM
XS33,0.004809576,17,PMM
XS33,0.082710462,27,PMM
XS33,0.080388822,54.5,PMM
XS33,0.080235443,81.5,PMM
XS33,0.056924615,124,PMM
XS34,-21.18875,-339.5,PMM
XS34,-19.11888889,-203.5,PMM
XS34,-24.65444444,-138.5,PMM
XS34,-23.28,-101,PMM
XS34,-6.26,-90.5,PMM
XS34,-27.7,-76.5,PMM
XS34,-24.96111111,-48.5,PMM
XS34,-15.065,-24,PMM
XS34,-24.048,-16.5,PMM
XS34,-28.964,-11,PMM
XS34,-28.95775,-6,PMM
XS34,-34.6,-2,PMM
XS34,-31.2,2,PMM
XS34,-31.352,6,PMM
XS34,-30.26,10,PMM
XS34,-24.56,17,PMM
XS34,-29.23,27,PMM
XS34,-31.14666667,54.5,PMM
XS34,-32.37,81.5,PMM
XS34,-30.41,124,PMM
XSr,0.707146,-4740,PMM
XSr,0.70718,-4375,PMM
XSr,0.707065,-4320,PMM
XSr,0.707198667,-4265,PMM
XSr,0.70714,-4205,PMM
XSr,0.707132,-4075,PMM
XSr,0.707025,-3900,PMM
XSr,0.70706,-3767.5,PMM
XSr,0.707089,-3721.5,PMM
XSr,0.70716,-3634.5,PMM
XSr,0.707142,-3409.5,PMM
XSr,0.70705,-3221.5,PMM
XSr,0.70711,-2981.5,PMM
XSr,0.707186667,-2691.5,PMM
XSr,0.70711,-2503.5,PMM
XSr,0.707173667,-2252,PMM
XSr,0.707194667,-2015.5,PMM
XSr,0.70716,-1739,PMM
XSr,0.707053333,-1334,PMM
XSr,0.707093,-1124.5,PMM
XSr,0.707136,-1100,PMM
XSr,0.70709,-880,PMM
XSr,0.70706,-620,PMM
XSr,0.70713,-501.5,PMM
XSr,0.70713,-339.5,PMM
XSr,0.707152,-203.5,PMM
XSr,0.70711,-138.5,PMM
XSr,0.707098,-101,PMM
XSr,0.707112,-90.5,PMM
XSr,0.707190667,-76.5,PMM
XSr,0.70716,-48.5,PMM
XSr,0.707107,-24,PMM
XSr,0.70707,-16.5,PMM
XSr,0.70717,-11,PMM
XSr,0.707178667,-6,PMM
XSr,0.707109,-2,PMM
XSr,0.70717,2,PMM
XSr,0.707112,6,PMM
XSr,0.70709,10,PMM
XSr,0.707190667,17,PMM
XSr,0.707098,27,PMM
XSr,0.70716,54.5,PMM
XSr,0.707196667,81.5,PMM
XSr,0.707205,124,PMM
XSr,0.707122,164.5,PMM
XSr,0.707363333,470,PMM
XSr,0.707186667,823,PMM
XSr,0.707144,921,PMM
XSr,0.707091,976,PMM
XSr,0.707095,999.5,PMM
XSr,0.707135667,1032,PMM
XSr,0.707095,1062,PMM
XSr,0.707095,1125.5,PMM
XSr,0.707126,1214.5,PMM
XSr,0.707178667,1281,PMM
XSr,0.70709,1342.5,PMM
XSr,0.707084,1395.5,PMM
XSr,0.707097,1442.5,PMM
XSr,0.707105,1486,PMM
XSr,0.707128,1505.5,PMM
XSr,0.707112,1533,PMM
XThU,0.11,-4740,PMM
XThU,0.03,-4375,PMM
XThU,0.08,-4320,PMM
XThU,0.01,-4265,PMM
XThU,6.646,-4205,PMM
XThU,4.506,-4075,PMM
XThU,0.04,-3900,PMM
XThU,0.11,-3767.5,PMM
XThU,0.06,-3721.5,PMM
XThU,0.1,-3634.5,PMM
XThU,0.04,-3409.5,PMM
XThU,0.07,-3221.5,PMM
XThU,0.01,-2981.5,PMM
XThU,0.02,-2691.5,PMM
XThU,4.33,-2503.5,PMM
XThU,0.16,-2252,PMM
XThU,0.03,-2015.5,PMM
XThU,0.02,-1739,PMM
XThU,0.04,-1334,PMM
XThU,0.03,-1124.5,PMM
XThU,0.07,-1100,PMM
XThU,0.04,-880,PMM
XThU,0,-620,PMM
XThU,0.19,-501.5,PMM
XThU,0.11,-339.5,PMM
XThU,0.476,-203.5,PMM
XThU,0.29,-138.5,PMM
XThU,11.95,-101,PMM
XThU,16.716,-90.5,PMM
XThU,0.04,-76.5,PMM
XThU,4.506,-48.5,PMM
XThU,5.568,-24,PMM
XThU,2.14,-16.5,PMM
XThU,0.4,-11,PMM
XThU,0.174,-6,PMM
XThU,0.086,-2,PMM
XThU,0.32,2,PMM
XThU,0.28,6,PMM
XThU,0.27,10,PMM
XThU,4.502,17,PMM
XThU,1.2,27,PMM
XThU,9.34,54.5,PMM
XThU,27.3,81.5,PMM
XThU,18,124,PMM
XThU,78.4,164.5,PMM
XThU,37.1,470,PMM
XThU,33.1,823,PMM
XThU,22.3,921,PMM
XThU,2.27,976,PMM
XTOC,0.305,-4740,PMM
XTOC,0.09,-4375,PMM
XTOC,0.197,-4320,PMM
XTOC,0.569,-4265,PMM
XTOC,0.42,-4205,PMM
XTOC,0.256,-4075,PMM
XTOC,0.395,-3900,PMM
XTOC,0.01,-3767.5,PMM
XTOC,0.346666667,-3721.5,PMM
XTOC,0.277,-3634.5,PMM
XTOC,0.55,-3409.5,PMM
XTOC,1.22,-3221.5,PMM
XTOC,0.235,-2981.5,PMM
XTOC,0.34,-2691.5,PMM
XTOC,0.6,-2503.5,PMM
XTOC,0.645,-2252,PMM
XTOC,0.6085,-2015.5,PMM
XTOC,0.155,-1739,PMM
XTOC,0.62,-1334,PMM
XTOC,0.946,-1124.5,PMM
XTOC,0.6505,-1100,PMM
XTOC,0.11,-880,PMM
XTOC,0.19,-620,PMM
XTOC,0.59,-501.5,PMM
XTOC,0.324285714,-339.5,PMM
XTOC,0.956666667,-203.5,PMM
XTOC,0.408,-138.5,PMM
XTOC,0.86,-101,PMM
XTOC,1.08,-90.5,PMM
XTOC,0.63,-76.5,PMM
XTOC,1.1375,-48.5,PMM
XTOC,1.56,-24,PMM
XTOC,0.24,-16.5,PMM
XTOC,1.68,-11,PMM
XTOC,0.54,-6,PMM
XTOC,0.71,-2,PMM
XTOC,0.76,2,PMM
XTOC,0.72,6,PMM
XTOC,1.44,10,PMM
XTOC,0.44,17,PMM
XTOC,0.79,27,PMM
XTOC,0.95,54.5,PMM
XTOC,0.813333333,81.5,PMM
XTOC,0.9925,124,PMM
XZn,0.79,-1334,PMM
XZn,0.6796,-1124.5,PMM
XZn,0.689083333,-1100,PMM
XZn,0.83,-880,PMM
XZn,0.8,-620,PMM
XZn,0.626666667,-501.5,PMM
XZn,0.738,-339.5,PMM
XZn,0.833333333,-203.5,PMM
XZn,0.98,-138.5,PMM
XZn,1.08,-101,PMM
XZn,0.99,-90.5,PMM
XZn,0.734583333,-76.5,PMM
XZn,0.905,-48.5,PMM
XZn,0.85,-24,PMM
XZn,0.61185,-16.5,PMM
XZn,0.7996,-11,PMM
XZn,0.730333333,-6,PMM
XZn,0.74,-2,PMM
XZn,0.729333333,2,PMM
XZn,0.723,6,PMM
XZn,0.781933333,10,PMM
XZn,0.57,17,PMM
XZn,0.445,27,PMM
XZn,0.33875,54.5,PMM
XZn,0.485,81.5,PMM
XZn,0.905,124,PMM
XZn,0.84,164.5,PMM
XZn,0.82125,470,PMM
Oce,-0.2,-4610,RAW
Oce,-0.17,-4375,RAW
Oce,-0.2,-4320,RAW
Oce,-0.16,-4265,RAW
Oce,-0.28,-3900,RAW
Oce,-0.23,-3767.5,RAW
Oce,-0.01,-3721.5,RAW
Oce,-0.07,-3634.5,RAW
Oce,-0.13,-3409.5,RAW
Oce,-0.22,-3221.5,RAW
Oce,-0.23,-2981.5,RAW
Oce,0.03,-2691.5,RAW
Oce,0.02,-2412,RAW
Oce,-0.3,-2015.5,RAW
Oce,-0.26,-1739,RAW
Oce,-0.24,-1334,RAW
Oce,0.09,-1124.5,RAW
Oce,-0.3,-1100,RAW
Oce,-0.19,-880,RAW
Oce,-0.28,-620,RAW
Oce,-0.08,-501.5,RAW
Oce,-0.08,-339.5,RAW
Oce,-0.09,-166,RAW
Oce,-0.14,-76.5,RAW
Oce,-0.13,-16.5,RAW
Oce,-0.1,-11,RAW
Oce,-0.13,0,RAW
Oce,-0.19,10,RAW
Oce,-0.2,22,RAW
Oce,-0.16,54.5,RAW
Oce,-0.01,81.5,RAW
Oce,-0.01,124,RAW
Oce,-0.18,164.5,RAW
Oce,-0.01,470,RAW
Oce,0.03,823,RAW
Oce,0.04,921,RAW
Oce,0,976,RAW
XCa,-0.6,-300,RAW
XCa,-0.62,-190,RAW
XCa,-0.68,-160,RAW
XCa,-0.74,-130,RAW
XCa,-0.79,-107,RAW
XCa,-0.74,-98,RAW
XCa,-0.76,-88,RAW
XCa,-0.8,-77,RAW
XCa,-0.79,-60,RAW
XCa,-0.76,-50,RAW
XCa,-0.65,-42,RAW
XCa,-0.86,-21,RAW
XCa,-0.72,-16,RAW
XCa,-0.71,-14,RAW
XCa,-0.79,-11,RAW
XCa,-0.86,-6,RAW
XCa,-0.95,0,RAW
XCa,-0.83,10,RAW
XCa,-0.8,14,RAW
XCa,-0.78,20,RAW
XCa,-0.75,23,RAW
XCa,-0.63,30,RAW
XCa,-0.75,50,RAW
XCcarb,0.462,-4817,RAW
XCcarb,-0.282,-4742,RAW
XCcarb,0.268,-4717,RAW
XCcarb,-0.259,-4697,RAW
XCcarb,-1.696,-4683,RAW
XCcarb,-2.194,-4660,RAW
XCcarb,1.242,-4634,RAW
XCcarb,1.618,-4611,RAW
XCcarb,2.266,-4585,RAW
XCcarb,3.417,-4549,RAW
XCcarb,3.303,-4521,RAW
XCcarb,2.929,-4495,RAW
XCcarb,2.934,-4470,RAW
XCcarb,3.495,-4446,RAW
XCcarb,3.26,-4414,RAW
XCcarb,2.693,-4391,RAW
XCcarb,3.646,-4365,RAW
XCcarb,3.614,-4340,RAW
XCcarb,3.483,-4308,RAW
XCcarb,3.844,-4274,RAW
XCcarb,3.442,-4242,RAW
XCcarb,4.076,-4190,RAW
XCcarb,1.96,-4170,RAW
XCcarb,1.53,-4170,RAW
XCcarb,1.72,-4170,RAW
XCcarb,1.37,-4170,RAW
XCcarb,1.09,-4170,RAW
XCcarb,1.5,-4170,RAW
XCcarb,3.72,-4157,RAW
XCcarb,3.289,-4130,RAW
XCcarb,3.608,-4101,RAW
XCcarb,3.905,-4074,RAW
XCcarb,3.781,-4046,RAW
XCcarb,3.236,-4021,RAW
XCcarb,2.855,-3997,RAW
XCcarb,3.357,-3971,RAW
XCcarb,3.28,-3810,RAW
XCcarb,2.94,-3610,RAW
XCcarb,3.05,-3610,RAW
XCcarb,3.35,-3510,RAW
XCcarb,2.77,-3410,RAW
XCcarb,3.34,-3310,RAW
XCcarb,3.34,-3210,RAW
XCcarb,3.73,-3110,RAW
XCcarb,3.04,-2950,RAW
XCcarb,3.23,-2790,RAW
XCcarb,2.56,-2710,RAW
XCcarb,3.11,-2600,RAW
XCcarb,2.5,-2520,RAW
XCcarb,3.05,-2520,RAW
XCcarb,2.42,-2400,RAW
XCcarb,2.54,-2400,RAW
XCcarb,2.59,-2400,RAW
XCcarb,2.76,-2310,RAW
XCcarb,2.77,-2210,RAW
XCcarb,3.17,-2110,RAW
XCcarb,2.95,-2020,RAW
XCcarb,3.06,-2020,RAW
XCcarb,4.43,-1910,RAW
XCcarb,4.36,-1910,RAW
XCcarb,4.55,-1910,RAW
XCcarb,4.46,-1910,RAW
XCcarb,3.56,-1910,RAW
XCcarb,3.81,-1910,RAW
XCcarb,3.87,-1910,RAW
XCcarb,4.14,-1910,RAW
XCcarb,4.06,-1910,RAW
XCcarb,4.06,-1910,RAW
XCcarb,3.82,-1810,RAW
XCcarb,2.65,-1710,RAW
XCcarb,4.04,-1610,RAW
XCcarb,4.28,-1510,RAW
XCcarb,3.45,-1410,RAW
XCcarb,4.65,-1310,RAW
XCcarb,3.33,-1210,RAW
XCcarb,3.2,-1110,RAW
XCcarb,3.4,-1010,RAW
XCcarb,3.336,-800,RAW
XCcarb,3.272,-750,RAW
XCcarb,3.486,-738,RAW
XCcarb,3.251,-720,RAW
XCcarb,2.898,-709,RAW
XCcarb,3.373,-702,RAW
XCcarb,3.42,-685,RAW
XCcarb,2.759,-672,RAW
XCcarb,3.861,-656,RAW
XCcarb,2.867,-642,RAW
XCcarb,3.922,-625,RAW
XCcarb,3.444,-618,RAW
XCcarb,3.686,-607,RAW
XCcarb,3.174,-600,RAW
XCcarb,4.206,-587,RAW
XCcarb,3.715,-570,RAW
XCcarb,3.668,-520,RAW
XCcarb,3.897,-510,RAW
XCcarb,3.685,-485,RAW
XCcarb,3.34,-478,RAW
XCcarb,3.824,-472,RAW
XCcarb,3.572,-465,RAW
XCcarb,3.774,-462,RAW
XCcarb,2.908,-446,RAW
XCcarb,4.168,-443,RAW
XCcarb,3.568,-437,RAW
XCcarb,3.427,-430,RAW
XCcarb,3.643,-423,RAW
XCcarb,3.85,-418,RAW
XCcarb,3.252,-410,RAW
XCcarb,3.404,-402,RAW
XCcarb,3.435,-395,RAW
XCcarb,3.658,-390,RAW
XCcarb,4.029,-380,RAW
XCcarb,3.586,-374,RAW
XCcarb,3.334,-370,RAW
XCcarb,3.89,-361,RAW
XCcarb,3.848,-344,RAW
XCcarb,3.829,-338,RAW
XCcarb,4.074,-331,RAW
XCcarb,3.931,-326,RAW
XCcarb,4.309,-323,RAW
XCcarb,3.466,-320,RAW
XCcarb,3.691,-307,RAW
XCcarb,3.276,-295,RAW
XCcarb,4.401,-269,RAW
XCcarb,3.828,-236,RAW
XCcarb,4.067,-194,RAW
XCcarb,3.946,-182,RAW
XCcarb,3.946,-173,RAW
XCcarb,3.616,-123,RAW
XCcarb,3.53,-110,RAW
XCcarb,3.731,-107,RAW
XCcarb,3.551,-94,RAW
XCcarb,3.239,-91,RAW
XCcarb,3.146,-73,RAW
XCcarb,3.017,-68,RAW
XCcarb,2.701,-56,RAW
XCcarb,2.555,-51,RAW
XCcarb,2.3,-42,RAW
XCcarb,2.47,-37,RAW
XCcarb,1.827,-29,RAW
XCcarb,1.307,-25,RAW
XCcarb,0.491,-24,RAW
XCcarb,2.031,-20.5,RAW
XCcarb,1.708,-18.5,RAW
XCcarb,1.655,-16.5,RAW
XCcarb,1.611,-15.5,RAW
XCcarb,1.161,-15,RAW
XCcarb,1.673,-14.5,RAW
XCcarb,-0.178,-14,RAW
XCcarb,-1.762,-13.5,RAW
XCcarb,-3.328,-13,RAW
XCcarb,-0.231,-12.5,RAW
XCcarb,-2.402,-12,RAW
XCcarb,0.48,-11.5,RAW
XCcarb,-1.094,-11.5,RAW
XCcarb,0.564,-11,RAW
XCcarb,0.54,-11,RAW
XCcarb,0.525,-10,RAW
XCcarb,0.39,-9,RAW
XCcarb,-0.49,-8,RAW
XCcarb,-0.596,-7,RAW
XCcarb,-0.213,-6.5,RAW
XCcarb,-0.258,-6,RAW
XCcarb,-0.231,-5.5,RAW
XCcarb,-0.191,-5,RAW
XCcarb,-0.243,-4.5,RAW
XCcarb,-0.42,-4,RAW
XCcarb,-0.233,-3.5,RAW
XCcarb,-0.301,-3,RAW
XCcarb,-0.289,-2.5,RAW
XCcarb,-0.225,-2,RAW
XCcarb,-0.158,-1.5,RAW
XCcarb,0.656,-1,RAW
XCcarb,0.559,-0.8,RAW
XCcarb,0.72,-0.6,RAW
XCcarb,0.87,-0.3,RAW
XCcarb,0.682,-0.1,RAW
XCcarb,0.207,0.25,RAW
XCcarb,0.241,0.75,RAW
XCcarb,0.393,1.25,RAW
XCcarb,0.363,1.75,RAW
XCcarb,0.351,2.25,RAW
XCcarb,0.515,2.75,RAW
XCcarb,0.311,3.25,RAW
XCcarb,0.608,3.75,RAW
XCcarb,0.227,4.25,RAW
XCcarb,0.248,4.25,RAW
XCcarb,0.181,4.75,RAW
XCcarb,0.09,5.25,RAW
XCcarb,0.345,5.75,RAW
XCcarb,1.077,6.25,RAW
XCcarb,1.049,6.75,RAW
XCcarb,0.646,7.25,RAW
XCcarb,1.082,7.75,RAW
XCcarb,1.184,8.25,RAW
XCcarb,1.059,8.75,RAW
XCcarb,0.743,9.25,RAW
XCcarb,0.074,9.75,RAW
XCcarb,0.291,10.25,RAW
XCcarb,0.994,10.75,RAW
XCcarb,0.21,11.25,RAW
XCcarb,0.841,11.75,RAW
XCcarb,0.824,12.25,RAW
XCcarb,0.724,12.75,RAW
XCcarb,0.485,13.25,RAW
XCcarb,0.354,13.75,RAW
XCcarb,0.421,14.25,RAW
XCcarb,0.597,14.75,RAW
XCcarb,0.392,15.25,RAW
XCcarb,0.634,15.75,RAW
XCcarb,0.999,16.25,RAW
XCcarb,0.921,16.75,RAW
XCcarb,0.666,23,RAW
XCcarb,0.62,30,RAW
XCcarb,0.687,39,RAW
XCcarb,0.567,48,RAW
XCcarb,0.201,71,RAW
XCcarb,0.206,110,RAW
XCcarb,-0.461,186,RAW
XCcarb,-0.626,210,RAW
XCcarb,-0.848,375,RAW
XCcarb,-1.232,510,RAW
XCcarb,-1.657,570,RAW
XCcarb,-1.155,710,RAW
XCcarb,-0.939,770,RAW
XCcarb,-0.964,800,RAW
XCcarb,-0.784,875,RAW
XCcarb,-0.911,885,RAW
XCcarb,0.087,930,RAW
XCcarb,0.792,980,RAW
XCcarb,0.666,1050,RAW
XCcarb,1.014,1090,RAW
XCcarb,1.824,1200,RAW
XCcarb,2.303,1310,RAW
XCcarb,2.468,1400,RAW
XCcarb,2.419,1450,RAW
XCcarb,2.52,1550,RAW
XCcarb,1.998,1700,RAW
XCcarb,2.527,1830,RAW
XCcarb,1.947,1950,RAW
XCcarb,2.817,2125,RAW
XCcarb,2.572,2700,RAW
XCcarb,2.822,2900,RAW
XCcarb,2.349,3100,RAW
XCcarb,2.178,3350,RAW
XCcarb,2.253,3900,RAW
XCcarb,2.443,4100,RAW
XCcarb,2.331,4330,RAW
XCcarb,2.008,4500,RAW
XCcarb,2.377,4670,RAW
XCcarb,2.143,4800,RAW
XCd,0.56,-410,RAW
XCd,0.54,-371,RAW
XCd,0.43,-337,RAW
XCd,0.44,-317,RAW
XCd,0.39,-288,RAW
XCd,0.46,-247,RAW
XCd,0.43,-204,RAW
XCd,0.44,-191,RAW
XCd,0.43,-182,RAW
XCd,0.46,-168,RAW
XCd,0.47,-152,RAW
XCd,0.49,-135,RAW
XCd,0.6,-123,RAW
XCd,0.43,-110,RAW
XCd,0.5,-99,RAW
XCd,0.42,-91,RAW
XCd,0.47,-87,RAW
XCd,0.31,-72,RAW
XCd,0.51,-64,RAW
XCd,-0.2,-56,RAW
XCd,0.37,-44,RAW
XCd,0.42,-30,RAW
XCd,0.59,-23,RAW
XCd,-0.27,-19.8,RAW
XCd,0.48,-19.2,RAW
XCd,0.47,-17,RAW
XCd,-0.03,-11,RAW
XCd,0.06,-7,RAW
XCd,0,-3,RAW
XCd,0.08,0,RAW
XCd,-0.26,4,RAW
XCd,-0.23,10,RAW
XCd,-0.05,13,RAW
XCd,-0.29,22,RAW
XCd,-0.13,37,RAW
XCd,-0.1,51,RAW
XCd,0.28,61,RAW
XCd,0.14,79,RAW
XCd,-0.18,81,RAW
XCd,-0.2,85,RAW
XCd,-0.19,88,RAW
XCd,-0.17,92,RAW
XCd,-0.53,108,RAW
XCd,-0.1,123,RAW
XCd,-0.16,127,RAW
XCd,-0.09,132,RAW
XCd,-0.17,138,RAW
XCd,-0.15,144,RAW
XCorg,-25.07,-5421.451,RAW
XCorg,-25.46,-5271.451,RAW
XCorg,-27.7,-4891.451,RAW
XCorg,-25.14,-4500.451,RAW
XCorg,-25.85,-4365.451,RAW
XCorg,-27.87,-4235.781,RAW
XCorg,-26.37,-3981.581,RAW
XCorg,-25.67,-3830.921,RAW
XCorg,-25.98,-3767.171,RAW
XCorg,-27.16,-3530.021,RAW
XCorg,-27.38,-3229.971,RAW
XCorg,-27.38,-2946.921,RAW
XCorg,-25.81,-2819.085,RAW
XCorg,-26.94,-2733.459,RAW
XCorg,-26.22,-2555.574,RAW
XCorg,-27.86,-2307.138,RAW
XCorg,-27.65,-2290.857,RAW
XCorg,-26.55,-1905.473,RAW
XCorg,-26.56,-1653.823,RAW
XCorg,-28.65,-1433.809,RAW
XCorg,-28.69,-1264.125,RAW
XCorg,-28.39,-980.839,RAW
XCorg,-29.73,-806.122,RAW
XCorg,-29.08,-620.62,RAW
XCorg,-28.11,-498.39,RAW
XCorg,-28.24,-441.788,RAW
XCorg,-27.37,-373.368,RAW
XCorg,-27.09,-288.776,RAW
XCorg,-27.34,-263.896,RAW
XCorg,-28,-209.5,RAW
XCorg,-28.38,-161.888,RAW
XCorg,-29.8,-105,RAW
XCorg,-28.1,-94,RAW
XCorg,-28.74,-87.248,RAW
XCorg,-28.3,-85,RAW
XCorg,-30.17,-71.076,RAW
XCorg,-28.7,-67.5,RAW
XCorg,-29.59,-41.5,RAW
XCorg,-27.8,-37.5,RAW
XCorg,-27.82,-26.5,RAW
XCorg,-28.7,-25.5,RAW
XCorg,-29.6,-22.5,RAW
XCorg,-28.03,-22.5,RAW
XCorg,-29.56,-18.828,RAW
XCorg,-28.52,-18.2,RAW
XCorg,-26.26,-17.1,RAW
XCorg,-28.8,-16,RAW
XCorg,-31.5,-13,RAW
XCorg,-30.49,-12.5,RAW
XCorg,-28.82,-10.908,RAW
XCorg,-32.7,-10,RAW
XCorg,-26.23,-8.5,RAW
XCorg,-30.6,-8,RAW
XCorg,-30.63,-7.828,RAW
XCorg,-31.4,-6.948,RAW
XCorg,-32.79,-6.068,RAW
XCorg,-27.3,-5.408,RAW
XCorg,-26.64,-4,RAW
XCorg,-26.47,-3.208,RAW
XCorg,-24.91,-2.988,RAW
XCorg,-25.4,0,RAW
XCorg,-26.22,1.5,RAW
XCorg,-26.5,3.612,RAW
XCorg,-25.68,6.5,RAW
XCorg,-25.95,6.912,RAW
XCorg,-25.2,8,RAW
XCorg,-28.23,15.412,RAW
XCorg,-26.5,17.5,RAW
XCorg,-25.97,21.192,RAW
XCorg,-25.5,22,RAW
XCorg,-25.59,23.912,RAW
XCorg,-27.64,37.5,RAW
XCorg,-28.8,40,RAW
XCorg,-29.66,40.912,RAW
XCorg,-24.97,49.7,RAW
XCorg,-30.6,56,RAW
XCorg,-30.3,63.692,RAW
XCorg,-25.54,80.012,RAW
XCorg,-29.24,102.962,RAW
XCorg,-26.1,115,RAW
XCorg,-25.28,118.092,RAW
XCorg,-29.14,129.312,RAW
XCorg,-27.53,149.372,RAW
XCorg,-25.4,218,RAW
XCorg,-28.9,288,RAW
XCorg,-25.3,420,RAW
XCorg,-25.7,530,RAW
XCorg,-25.7,673,RAW
XCorg,-25,956,RAW
XCorg,-24.4,1315,RAW
XCorg,-25.7,1778,RAW
XFeHr,0.81,-558.99,RAW
XFeHr,0.81,-441.99,RAW
XFeHr,0.77,-234.99,RAW
XFeHr,0.88,-191.66,RAW
XFeHr,0.72,-148.33,RAW
XFeHr,0.78,-105,RAW
XFeHr,0.72,-67,RAW
XFeHr,0.82,-57.25,RAW
XFeHr,0.77,-47.5,RAW
XFeHr,0.79,-37.75,RAW
XFeHr,0.66,-28,RAW
XFeHr,0.75,-27.23076923,RAW
XFeHr,0.69,-26.46153846,RAW
XFeHr,0.62,-25.69230769,RAW
XFeHr,0.64,-24.92307692,RAW
XFeHr,0.64,-24.15384615,RAW
XFeHr,0.59,-23.38461538,RAW
XFeHr,0.66,-22.61538462,RAW
XFeHr,0.72,-21.84615385,RAW
XFeHr,0.68,-21.07692308,RAW
XFeHr,0.71,-20.30769231,RAW
XFeHr,0.83,-19.53846154,RAW
XFeHr,0.53,-18.76923077,RAW
XFeHr,0.74,-18,RAW
XFeHr,0.71,-16,RAW
XFeHr,0.65,-14,RAW
XFeHr,0.57,-11,RAW
XFeHr,0.63,-8,RAW
XFeHr,0.74,-4,RAW
XFeHr,0.76,2,RAW
