"","bed","X.bed","X.XTOC","X.XThU","X.XZn","X.XS33","X.XS34","X.OCe","X.XSr","X.XOs","X.XO","X.XN","X.XLi","X.XHg","X.XFeHr","X.XFePy","X.XCd","X.XCa","X.XCorg","X.Xccarb"
"24e","24e", 24.000000000,  1.560000000,  1.440000000,  0.850000000,  0.000182832,-15.065000000, -0.133333333,  0.707115000,  3.100000000, 20.990000000,  1.540000000,  9.650000000,616.562220000,  0.682500000,  0.673333300,  0.266666670, -0.860000000,-28.537500000,  1.414000000
"25","25", 25.000000000,  0.240000000,  2.140000000,  0.822500000,  0.077328311,-24.048000000, -0.130000000,  0.707070000,  3.770000000, 21.060000000,  1.440000000,  0.300000000,231.847140000,  0.660000000,  0.626666700,  0.470000000, -0.720000000,-28.285000000,  1.561600000
"26","26", 26.000000000,  1.680000000,  0.400000000,  0.795000000,  0.059514233,-28.964000000, -0.100000000,  0.707170000,  4.440000000, 20.090000000,  2.220000000,  0.533333300,334.053330000,  0.610000000,  0.765000000, -0.030000000, -0.750000000,-29.948000000, -0.590545500
"27a","27a", 26.400000000,  0.540000000,  0.373333333,  0.767500000,  0.080297532,-31.782000000, -0.110000000,  0.707170000,  1.640000000, 19.040000000,  0.030000000,  3.455555533,229.250000000,  0.630000000,  0.760000000,  0.060000000, -0.860000000,-30.544000000, -0.317428600
"27b","27b", 26.800000000,  0.710000000,  0.346666667,  0.740000000,  0.101080832,-34.600000000, -0.120000000,  0.707170000,  1.930000000, 18.986670000,  0.106666667,  6.377777767,320.600000000,  0.740000000,  0.700000000,  0.000000000, -0.905000000,-26.006670000,  0.169181800
"27c","27c", 27.200000000,  0.760000000,  0.320000000,  0.697500000,  0.070264556,-31.200000000, -0.130000000,  0.707170000,  1.330000000, 18.745000000,  0.183333333,  9.300000000,147.140000000,  0.760000000,  0.630000000,  0.080000000, -0.950000000,-26.040000000,  0.373625000
"27d","27d", 27.600000000,  0.720000000,  0.295000000,  0.655000000,  0.048446229,-28.986666667, -0.160000000,  0.707130000,  1.676666667, 18.880000000,  0.260000000,  8.466666667, 93.000000000,  0.780000000,  0.660000000, -0.260000000, -0.890000000,-25.815000000,  0.549444400
"28","28", 28.000000000,  1.440000000,  0.270000000,  0.612500000,  0.026627902,-26.773333333, -0.190000000,  0.707090000,  2.023333333, 18.463330000,  0.247500000,  7.633333333, 86.935000000,  0.690000000,  0.745000000, -0.230000000, -0.830000000,-25.200000000,  0.674500000
"29a","29a", 28.666666667,  0.440000000,  0.735000000,  0.570000000,  0.004809575,-24.560000000, -0.195000000,  0.707113333,  2.370000000, 18.570000000,  0.235000000,  6.800000000, 80.870000000,  0.400000000,  0.690000000, -0.050000000, -0.790000000,-26.900000000,  0.635100000
"29b","29b", 29.333333333,  0.790000000,  1.200000000,  0.445000000,  0.082710462,-29.230000000, -0.200000000,  0.707136667,  2.106250000, 19.155000000,  0.222500000,  5.250000000,193.000000000,  0.560000000,  0.850000000, -0.290000000, -0.690000000,-25.545000000,  0.643000000
"30","30", 30.000000000,  0.950000000,  9.340000000,  0.338750000,  0.080388822,-31.146670000, -0.160000000,  0.707160000,  1.842500000, 18.291670000,  0.210000000,  3.700000000,402.585000000,  0.612000000,  0.624000000,  0.016666670, -0.750000000,-28.661670000,  0.485000000
"31","31", 31.000000000,  0.813333300, 27.300000000,  0.485000000,  0.080235443,-32.370000000, -0.010000000,  0.707182500,  1.578750000, 18.240835000,  0.608333500,  4.400000000,NA,  0.592500000,  0.502500000, -0.080000000,NA,-25.540000000,  0.345500000
"32","32", 32.000000000,  0.992500000, 18.000000000,  0.905000000,  0.056924615,-30.410000000, -0.010000000,  0.707205000,  1.315000000, 18.190000000,  1.006667000,  1.557142900,NA,  0.503750000,  0.542500000, -0.195000000,NA,-27.458000000,  0.206000000
"33","33", 33.000000000,NA, 78.400000000,  0.840000000,NA,NA, -0.180000000,  0.707284150,  1.298750000, 18.450000000,NA,  1.413186850,NA,  0.460000000,  0.540000000,NA,NA,-26.829000000, -0.391142850
"34","34", 34.000000000,NA, 37.100000000,  0.821250000,NA,NA, -0.010000000,  0.707363300,  1.282500000, 18.710000000,NA,  1.269230800,NA,  0.467368400,  0.460000000,NA,NA,-26.200000000, -0.988285700
