bed,XTOC,XThU,XZn,XS33,XS34,OCe,XSr,XOs,XO,XN,XLi,XHg,XFeHr,XFePy,XCd,XCa,XCorg,Xccarb,divRT,stg,sys,system,series,stage,short,formation,member,lithology,facies,SQ,conodonot_zone,conodont_stg,Thickness,Tbottom,Tmid,Ttop,Sbottom,Smid,Stop,actual,Age,Rate..cm.year.,bottom,mid,top,dur,systemCol,seriesCol,col
13a,0.6,0.06855754,NA,NA,NA,-0.1508794,0.70711,NA,21.27666667,1.57,NA,NA,NA,NA,NA,NA,-26.22,2.775,244,14,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,"micrite, silica",IV2,SQ1 HST1,C. changxingensis I,5,1.83,17.95,18.865,19.78,-2595,-2503.5,-2412,,NA,0.0033,253.11,253.08,253.05,54823,#e35b54,#a9599e,#fac4b8
13b,0.645,0.16,NA,NA,NA,0.02,0.7071065,NA,21.15,3.5,NA,NA,NA,NA,NA,NA,-27.755,2.708333333,243,15,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,IV2,SQ1 HST2,C. changxingensis I,5,3.2,19.78,21.38,22.98,-2412,-2252,-2092,,NA,0.0033,253.05,253,252.96,95866,#e35b55,#a9599e,#fac4b8
14,0.395673,0.03,NA,NA,NA,-0.3,0.7071099,NA,21.85666667,2.21357,NA,NA,NA,NA,NA,NA,-27.26604,3.005,248,16,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,"micrite, silica",IV1,SQ1 HST2,C. changxingensis II,6,1.53,22.98,23.745,24.51,-2092,-2015.5,-1939,,NA,0.0033,252.96,252.93,252.91,45836,#e35b56,#a9599e,#fac4b8
15,0.155,0.02,NA,NA,NA,-0.26,0.70716,NA,21.51333333,0.98,NA,NA,NA,NA,NA,NA,-26.555,3.985384615,255,17,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,III2,SQ1 HST2,C. changxingensis II,6,4,24.51,26.51,28.51,-1939,-1739,-1539,*Shen et al2011,252.85,0.0019,252.91,252.85,252.75,164240,#e35b57,#a9599e,#fac4b8
16,0.62,0.04,0.79,NA,NA,-0.24,0.707053333,NA,21.32333333,1.58,NA,NA,NA,NA,NA,NA,-28.67,3.9275,260,18,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,III2,SQ2 SMST,C. changxingensis II,6,4.1,28.51,30.56,32.61,-1539,-1334,-1129,,NA,0.0019,252.75,252.64,252.53,213987,#e35b58,#a9599e,#fac4b8
17,0.2825472,0.03,0.7123002,NA,NA,0.09,0.7071229,NA,21.61067,2.21357,NA,NA,NA,NA,NA,NA,-27.48889,3.486786,256,19,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,micrite,III1,SQ2 SMST,C. changxingensis II,6,0.09,32.61,32.655,32.7,-1129,-1124.5,-1120,,NA,0.0019,252.53,252.53,252.53,4697,#e35b59,#a9599e,#fac4b8
18,0.2793731,0.07,0.7162028,NA,NA,-0.3,0.7071232,NA,21.53,2.147487,NA,NA,NA,NA,NA,NA,-27.49515,3.2,253,20,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,micrite,III1,SQ2 TST,C. changxingensis II,6,0.4,32.7,32.9,33.1,-1120,-1100,-1080,,NA,0.0019,252.53,252.52,252.51,20877,#e35b60,#a9599e,#fac4b8
19,0.11,0.04,0.83,NA,NA,-0.19,0.70709,5.02,21.71142857,2.145633,NA,NA,NA,NA,NA,NA,-29.06,3.3045,267,21,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,"micrite, silica",III2,SQ2 TST,C. changxingensis II,6,4,33.1,35.1,37.1,-1080,-880,-680,,NA,0.0019,252.51,252.39,252.28,224426,#e35b61,#a9599e,#fac4b8
20,0.19,0,0.8,NA,NA,-0.28,0.70706,9.01,21.16333333,2.129316,NA,NA,NA,NA,NA,NA,-29.08,3.514888889,256,22,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,micrite,III2,SQ2 TST,C. changxingensis III,7,1.2,37.1,37.7,38.3,-680,-620,-560,,NA,0.0019,252.28,252.25,252.22,62630,#e35b62,#a9599e,#fac4b8
21,0.59,0.19,0.626666667,NA,NA,-0.08,0.70713,6.724858,21.70333333,1.61,NA,NA,0.81,0.64,NA,NA,-28.11,3.5835,234,23,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,"micrite, silica",IV1,SQ2 mfs,C. changxingensis III,7,1.17,38.3,38.885,39.47,-560,-501.5,-443,,NA,0.0019,252.22,252.19,252.16,61065,#e35b63,#a9599e,#fac4b8
22,0.324285714,0.11,0.738,0.034579142,-21.18875,-0.08,0.70713,4.58,21.41,2.703333333,9.88,NA,0.81,0.5,0.47,-0.6,-27.51,3.730409091,241,24,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,micrite,IV1,SQ2 HST,C. changxingensis III,7,2.07,39.47,40.505,41.54,-443,-339.5,-236,*Burgessetal2014,252.104,0.002,252.16,252.1,252.05,106153,#e35b64,#a9599e,#fac4b8
23a,0.956666667,0.1060897,0.833333333,0.044102072,-19.11888889,-0.12566,0.7071363,4.940228,21.2075,2.110033,7.7,NA,0.825,0.575,0.433333333,-0.62,-28,3.94675,185,25,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,micrite,IV1,SQ2 HST,C. yini,8,0.65,41.54,41.865,42.19,-236,-203.5,-171,,NA,0.002,252.05,252.04,252.02,32795,#e35b65,#a9599e,#fac4b8
23b,0.408,0.29,0.98,0.067491781,-24.65444444,-0.09,0.70711,4.28,20.58833333,2.41,7.5,NA,0.72,0.78,0.49,-0.736666667,-28.38,3.625666667,146,26,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,micrite,III2,SQ2 HST,C. yini,8,0.65,42.19,42.515,42.84,-171,-138.5,-106,,NA,0.002,252.02,252,251.99,32795,#e35b66,#a9599e,#fac4b8
24a,0.86,0.10776233,1.08,0.051876645,-23.28,-0.1245361,0.7071378,4.326387,20.74333333,2.07154,6.556924,NA,0.78,0.71,0.5,-0.74,-29.8,3.85306,159,27,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,"argillaceous micrite, silica",III2,SQ2 HST,C. yini,8,0.1,42.84,42.89,42.94,-106,-101,-96,,NA,0.002,251.99,251.98,251.98,5045,#e35b67,#a9599e,#fac4b8
24b,1.08,0.10793367,0.99,-0.0151841,-6.26,-0.124421,0.707138,6.67,20.6,2.17,12.4,NA,0.7743552,0.6500671,0.445,-0.76,-28.42,3.395,141,28,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,"argillaceous micrite, silica",III2,SQ2 HST,C. yini,8,0.11,42.94,42.995,43.05,-96,-90.5,-85,,NA,0.002,251.98,251.977225,251.97445,5550,#e35b68,#a9599e,#fac4b8
24c,0.63,0.04,0.8792325,0.067740268,-27.7,-0.14,0.7071382,10.55,21.07333333,1.74,6.097269,NA,0.7569408,0.6453982,0.31,-0.8,-29.235,3.146,136,29,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,"argillaceous micrite, silica",III2,SQ2 HST,C. yini,8,0.17,43.05,43.135,43.22,-85,-76.5,-68,,NA,0.002,251.97445,251.9701615,251.965873,8577,#e35b69,#a9599e,#fac4b8
24d,1.1375,3.305864,0.905,0.038379738,-24.96111111,-0.1228969,0.70716,6.3425,20.994,2.067646,8.4,62.86333333,0.775,0.5775,0.275,-0.733333333,-28.69666667,2.6086,137,30,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,"argillaceous micrite, silica",III2,SQ2 HST,C. yini,8,0.39,43.22,43.335,43.61,-68,-48.5,-29,,NA,0.002,251.965873,251.9560345,251.946196,19677,#e35b70,#a9599e,#fac4b8
24e,1.56,5.801856,0.85,0.000182832,-15.065,-0.1236918,0.7071389,3.1,20.99,2.065829,9.65,616.5622222,0.6825,0.673333333,0.266666667,-0.86,-28.5375,1.414,127,31,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Meishan,argillaceous micrite,III2,SQ3 SMST,C. meishanensis,9,0.1,43.45,43.55,43.71,-29,-24,-19,,NA,0.002,251.946196,251.9436735,251.941151,5045,#e35b71,#a9599e,#fac4b8
25,0.24,2.14,0.8887897,0.077328311,-24.048,-0.13,0.70707,3.820342,21.06,1.44,0.3,231.8471429,0.66,0.626666667,0.47,-0.72,-28.285,1.5616,102,32,Tr,Permian,Lopingian,Changhsingian,Changhsingian,Yinkeng,,clay,III2,SQ3 SMST,C. meishanensis,9,0.05,43.65,43.675,43.76,-19,-16.5,-14,*Burgessetal2014,251.941,4.00E-04,251.941151,251.9376235,251.934096,7055,#984b99,#bd86bd,#fac4b8
26,1.68,0.4,0.8896657,0.059514233,-28.964,-0.1,0.70717,4.44,20.09,2.22,0.533333333,334.0533333,0.61,0.765,-0.03,-0.75,-29.948,-0.590545455,107,33,Tr,Permian,Lopingian,Changhsingian,Changhsingian,Yinkeng,,clay,III2,SQ3 SMST,C. zhejiangensis - H. changxingensis,10,0.06,43.7,43.73,43.82,-14,-11,-8,,NA,4.00E-04,251.934096,251.9271835,251.920271,13825,#984b99,#bd86bd,#fac4b8
27a,0.54,7.635645,0.8904622,0.0578331,-26.3561,-0.1234945,0.7071392,1.64,19.04,0.03,4.774587,229.25,0.63,0.76,0.06,-0.86,-30.544,-0.317428571,103,34,Tr,Permian,Lopingian,Changhsingian,Changhsingian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,C. zhejiangensis - H. changxingensis,10,0.04,43.76,43.78,43.86,-8,-6,-4,,NA,4.00E-04,251.920271,251.9156625,251.911054,9217,#984b99,#bd86bd,#fac4b8
27b,0.71,8.043154,0.74,0.101080832,-34.6,-0.1234506,0.7071392,1.93,18.98666667,-0.01243393,4.699542,320.6,0.74,0.7,0,-0.7964619,-26.00666667,0.169181818,86,35,Tr,Permian,Lopingian,Changhsingian,Changhsingian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,C. zhejiangensis - H. changxingensis,10,0.04,43.8,43.82,43.9,-4,-2,0,,NA,4.00E-04,251.911054,251.9064455,251.901837,9217,#984b99,#bd86bd,#fac4b8
27c,0.76,0.32,0.8917365,0.070264556,-31.2,-0.13,0.70717,1.33,18.745,0.01745434,9.3,147.14,0.76,0.63,0.08,-0.95,-26.04,0.373625,75,36,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,H. parvus,11,0.04,43.84,43.86,43.94,0,2,4,,NA,4.00E-04,251.901837,251.8972285,251.89262,9217,#984b99,#bd86bd,#fac4b8
27d,0.72,8.858172,0.8923736,0.05864964,-26.64784,-0.1233629,0.7071394,3.685597,18.88,0.26,4.54945,93,0.78,0.66,-0.26,-0.8014932,-25.815,0.549444444,64,37,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,I. staeschei,12,0.04,43.88,43.9,43.98,4,6,8,,NA,4.00E-04,251.89262,251.8880115,251.883403,9217,#984b99,#bd86bd,#fac4b8
28,1.44,0.27,0.8930108,0.05892181,-26.74509,-0.19,0.70709,3.661642,18.46333333,0.07723086,4.474405,86.935,0.69,0.745,-0.23,-0.83,-25.2,0.6745,50,38,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,clay,III1 lower offshore,SQ3 TST,I. staeschei,12,0.04,43.92,43.94,44.02,8,10,12,*Burgessetal2014,251.88,4.00E-04,251.883403,251.8785715,251.87374,9663,#984b99,#bd86bd,#fac4b8
29a,0.44,9.978821,0.57,0.004809576,-24.56,-0.1232423,0.7071395,2.37,18.57,0.12953532,6.8,80.87,0.4,0.69,-0.05,-0.79,-26.9,0.6351,46,39,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,marl,III1 lower offshore,SQ3 TST,I. isarcica,13,0.1,43.96,44.025,44.12,12,17,22,,NA,4.00E-04,251.87374,251.8609525,251.848165,25575,#984b99,#bd86bd,#fac4b8
29b,0.79,1.2,0.445,0.082710462,-29.23,-0.2,0.7071397,3.559834,19.155,0.20425597,4.15546,193,0.56,0.85,-0.29,-0.69,-25.545,0.643,,40,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,marl,III1 lower offshore,SQ3 TST,I. isarcica,13,0.1,44.09,44.155,44.22,22,27,32,,NA,4.00E-04,251.848165,251.8353775,251.82259,25575,#984b99,#bd86bd,#fac4b8
30,0.95,9.34,0.33875,0.080388822,-31.14666667,-0.16,0.70716,3.395145,18.29166667,0.21,3.7,402.585,0.612,0.624,0.016666667,-0.75,-28.66166667,0.485,,41,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,calcareous mudrock,III2 lower offshore,SQ3 TST,C. planata,14,0.45,44.22,44.495,44.67,32,54.5,77,,NA,4.00E-04,251.82259,251.765045,251.7075,115090,#984b99,#bd86bd,#fac4b8
31,0.813333333,27.3,0.485,0.080235443,-32.37,-0.01,0.7071405,3.23345,18.55011,0.61148354,4.4,NA,0.5925,0.5025,-0.08,NA,-25.54,0.2668399,,42,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,clay,III2 lower offshore,SQ3 TST,C. planata,14,0.09,44.77,44.815,44.76,77,81.5,86,,NA,4.00E-04,251.7075,251.680646,251.653792,53708,#984b99,#bd86bd,#fac4b8
32,0.9925,18,0.905,0.056924615,-30.41,-0.01,0.707205,1.315,18.19,1.006666667,1.557142857,NA,0.50375,0.5425,-0.195,NA,-27.458,0.206,,43,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,calcareous mudrock,III2 lower offshore,SQ3 TST,C. planata,14,0.76,44.86,45.24,45.52,86,124,162,,NA,4.00E-04,251.653792,251.635889,251.617986,35806,#984b99,#bd86bd,#fac4b8
33,NA,78.4,0.84,NA,NA,-0.18,0.7071417,2.736389,18.39104,NA,1.575763,NA,0.46,0.54,NA,NA,-27.81142,0.3144776,,44,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,calcareous mudrock,IV1 lower offshore,SQ3 TST,C. planata,14,0.05,45.62,45.645,45.57,162,164.5,167,*Burgessetal2014,251.583,3.00E-04,251.617986,251.576665,251.535344,82642,#984b99,#bd86bd,#fac4b8
34,NA,37.1,0.82125,NA,NA,-0.01,0.707363333,1.2825,18.71,NA,1.269230769,NA,0.467368421,0.46,NA,NA,-26.2,-0.988285714,,45,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,calcareous mudrock,IV1 lower offshore,SQ3 mfs,C. planata,14,6.06,45.67,48.7,51.63,167,470,773,*Burgessetal2014,251.495,3.00E-04,251.535344,251.4938355,251.452327,83017,#984b99,#bd86bd,#fac4b8
35,NA,33.1,NA,NA,NA,0.03,NA,NA,NA,NA,1.25,NA,0.41,0.24,NA,NA,-27.97613,-0.964,,46,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,calcareous mudrock,IV1 lower offshore,SQ3 EHST,C. planata,14,1,51.73,52.23,52.63,773,823,873,,NA,3.00E-04,251.452327,251.425749,251.399171,53156,#984b99,#bd86bd,#fac4b8
36,NA,22.3,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,-0.536,,47,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,calcareous mudrock,IV1 lower offshore,SQ3 LHST,C. planata,14,0.96,52.73,53.21,53.59,873,921,969,,NA,3.00E-04,251.399171,251.370932,251.342693,56478,#984b99,#bd86bd,#fac4b8
37,NA,2.27,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792,,48,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,calcareous mudrock,III2 lower offshore,SQ3 LHST,C. planata,14,0.14,53.69,53.76,53.73,969,976,983,,NA,3.00E-04,251.342693,251.319437,251.296181,46512,#984b99,#bd86bd,#fac4b8
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7937246,,49,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,"calcareous mudrock, silica",III2 upper offshore,SQ3 LHST,C. planata,14,0.33,53.83,53.995,54.06,983,999.5,1016,,NA,3.00E-04,251.296181,251.2413635,251.186546,109635,#984b99,#bd86bd,#fac4b8
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8123779,,50,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,"calcareous mudrock, silica",III1 upper upper offshore,SQ3 LHST,C. planata,14,0.32,54.16,54.32,54.38,1016,1032,1048,,NA,3.00E-04,251.186546,251.13339,251.080234,106312,#984b99,#bd86bd,#fac4b8
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666,,51,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,III1 upper upper offshore,SQ4 SMST,C. planata,14,0.28,54.48,54.62,54.66,1048,1062,1076,,NA,3.00E-04,250,250,250,0,#984b99,#bd86bd,#fac4b8
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.014,,52,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,SQ4,C. planata,14,0.99,54.76,55.255,55.65,1076,1125.5,1175,,NA,3.00E-04,249,249,249,0,#984b99,#bd86bd,#fac4b8
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.824,,53,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,SQ4,C. planata,14,0.79,55.75,56.145,56.44,1175,1214.5,1254,,NA,3.00E-04,248,248,248,0,#984b99,#bd86bd,#fac4b8
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9552911,,54,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,SQ4,C. planata,14,0.54,56.54,56.81,56.98,1254,1281,1308,,NA,3.00E-04,247,247,247,0,#984b99,#bd86bd,#fac4b8
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.4,2.303,,55,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,SQ4,C. planata,14,0.69,57.08,57.425,57.67,1308,1342.5,1377,,NA,3.00E-04,246,246,246,0,#984b99,#bd86bd,#fac4b8
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.468,,56,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,SQ4,C. planata,14,0.37,57.77,57.955,58.04,1377,1395.5,1414,,NA,3.00E-04,245,245,245,0,#984b99,#bd86bd,#fac4b8
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.419,,57,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,SQ4,C. planata,14,0.57,58.14,58.425,58.61,1414,1442.5,1471,,NA,3.00E-04,244,244,244,0,#984b99,#bd86bd,#fac4b8
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0729505,,58,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,,C. planata,14,0.3,58.71,58.86,58.91,1471,1486,1501,,NA,3.00E-04,243,243,243,0,#984b99,#bd86bd,#fac4b8
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0841425,,59,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,,C. planata,14,0.09,59.01,59.055,59,1501,1505.5,1510,,NA,3.00E-04,242,242,242,NA,,,
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,,60,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,,,,C. planata,14,0.46,59.1,59.33,59.46,1510,1533,1556,,NA,3.00E-04,241,241,241,NA,, ,
